iter	Passed	Remaining
0	139	139050
1	139	69778
2	140	46683
3	143	35618
4	143	28619
5	144	23938
6	145	20604
7	145	18098
8	146	16150
9	147	14581
10	147	13296
11	148	12228
12	149	11323
13	149	10546
14	150	9871
15	151	9297
16	151	8777
17	152	8314
18	153	7904
19	153	7536
20	154	7211
21	157	6985
22	158	6715
23	158	6457
24	160	6241
25	160	6025
26	161	5822
27	162	5633
28	162	5456
29	163	5288
30	164	5133
31	164	4987
32	165	4848
33	166	4719
34	166	4596
35	167	4480
36	167	4371
37	168	4268
38	169	4170
39	171	4106
40	172	4030
41	172	3945
42	173	3863
43	174	3787
44	174	3713
45	175	3644
46	176	3577
47	177	3510
48	177	3447
49	178	3387
50	178	3329
51	179	3273
52	180	3218
53	180	3166
54	181	3115
55	181	3066
56	182	3020
57	183	2973
58	183	2929
59	184	2886
60	185	2857
61	186	2824
62	187	2787
63	188	2750
64	188	2715
65	189	2680
66	189	2645
67	190	2612
68	191	2581
69	191	2548
70	192	2516
71	192	2486
72	193	2455
73	193	2427
74	194	2398
75	195	2371
76	195	2344
77	196	2317
78	196	2292
79	197	2267
80	197	2243
81	198	2220
82	198	2194
83	199	2172
84	201	2164
85	202	2148
86	202	2129
87	203	2109
88	204	2089
89	204	2071
90	205	2053
91	206	2034
92	206	2015
93	207	1996
94	207	1978
95	208	1960
96	208	1942
97	209	1925
98	209	1908
99	210	1892
100	210	1875
101	211	1859
102	211	1844
103	212	1828
104	212	1813
105	213	1799
106	213	1785
107	215	1782
108	216	1771
109	217	1759
110	217	1745
111	218	1733
112	219	1720
113	219	1708
114	220	1696
115	220	1684
116	221	1670
117	221	1658
118	222	1646
119	222	1635
120	223	1623
121	223	1611
122	224	1600
123	225	1589
124	225	1578
125	226	1568
126	226	1556
127	227	1546
128	227	1536
129	228	1526
130	228	1516
131	229	1506
132	231	1506
133	232	1500
134	232	1492
135	233	1484
136	234	1475
137	234	1467
138	235	1459
139	236	1452
140	237	1444
141	237	1434
142	238	1426
143	238	1418
144	239	1410
145	239	1402
146	240	1394
147	240	1386
148	241	1378
149	241	1371
150	242	1363
151	242	1355
152	243	1348
153	244	1340
154	244	1334
155	246	1335
156	247	1331
157	248	1324
158	249	1318
159	249	1311
160	250	1304
161	250	1298
162	251	1291
163	252	1285
164	252	1278
165	253	1271
166	253	1265
167	254	1258
168	254	1252
169	255	1246
170	255	1240
171	256	1233
172	256	1227
173	257	1221
174	257	1215
175	258	1210
176	258	1204
177	259	1198
178	261	1199
179	262	1195
180	263	1190
181	263	1185
182	264	1179
183	264	1174
184	265	1169
185	266	1164
186	266	1159
187	267	1153
188	267	1148
189	268	1143
190	268	1138
191	269	1132
192	269	1127
193	270	1122
194	270	1117
195	271	1112
196	271	1107
197	272	1102
198	272	1098
199	273	1093
200	273	1088
201	274	1083
202	275	1082
203	276	1080
204	277	1077
205	278	1073
206	279	1069
207	279	1065
208	280	1062
209	281	1058
210	282	1054
211	282	1050
212	283	1046
213	283	1042
214	284	1038
215	284	1034
216	285	1030
217	286	1026
218	286	1022
219	287	1018
220	287	1014
221	288	1010
222	288	1006
223	289	1003
224	291	1005
225	293	1003
226	293	1000
227	294	996
228	294	992
229	295	989
230	296	985
231	296	982
232	297	979
233	297	975
234	298	971
235	298	967
236	299	964
237	300	960
238	300	956
239	301	953
240	301	949
241	302	946
242	302	942
243	303	938
244	303	935
245	304	932
246	304	929
247	307	930
248	308	929
249	308	926
250	309	923
251	310	920
252	310	918
253	311	915
254	312	912
255	312	909
256	313	906
257	314	903
258	314	900
259	315	897
260	315	894
261	316	891
262	317	888
263	317	885
264	318	882
265	318	879
266	319	876
267	319	873
268	321	872
269	322	870
270	322	868
271	323	865
272	323	862
273	324	860
274	325	857
275	325	854
276	326	851
277	326	849
278	327	846
279	328	843
280	328	840
281	329	837
282	329	834
283	330	832
284	330	829
285	331	826
286	331	823
287	332	821
288	332	818
289	333	815
290	333	813
291	334	810
292	334	807
293	336	807
294	337	805
295	337	803
296	338	801
297	339	798
298	339	796
299	340	794
300	340	791
301	341	789
302	341	786
303	342	784
304	342	781
305	343	778
306	343	776
307	344	773
308	345	771
309	345	769
310	346	766
311	346	764
312	347	762
313	347	759
314	348	757
315	348	755
316	349	752
317	349	750
318	351	750
319	352	748
320	352	746
321	353	744
322	354	742
323	354	739
324	355	737
325	355	735
326	356	733
327	357	731
328	357	729
329	358	727
330	358	724
331	359	722
332	359	720
333	360	718
334	360	716
335	361	714
336	361	711
337	362	709
338	362	707
339	363	705
340	363	703
341	364	701
342	365	699
343	366	699
344	367	697
345	368	696
346	368	694
347	369	692
348	369	690
349	370	688
350	370	685
351	371	683
352	372	681
353	372	680
354	373	678
355	373	676
356	374	674
357	375	672
358	375	670
359	376	668
360	376	667
361	377	665
362	378	663
363	378	662
364	379	660
365	380	658
366	380	656
367	382	657
368	383	655
369	384	653
370	384	652
371	385	650
372	385	648
373	386	646
374	387	645
375	387	643
376	388	641
377	388	639
378	389	638
379	390	636
380	390	634
381	391	632
382	391	631
383	392	629
384	392	627
385	393	625
386	393	623
387	394	622
388	394	620
389	395	618
390	397	618
391	397	617
392	398	615
393	399	614
394	399	612
395	400	610
396	401	609
397	401	607
398	402	605
399	402	604
400	403	602
401	403	600
402	404	598
403	404	597
404	405	595
405	405	593
406	406	592
407	406	590
408	407	588
409	407	587
410	408	585
411	408	583
412	409	582
413	410	580
414	410	578
415	412	579
416	413	577
417	413	576
418	414	574
419	415	573
420	415	571
421	416	570
422	416	568
423	417	566
424	417	565
425	418	563
426	418	562
427	419	560
428	420	559
429	420	557
430	421	555
431	421	554
432	422	552
433	422	551
434	423	549
435	423	547
436	424	546
437	424	544
438	425	543
439	425	541
440	427	541
441	428	540
442	428	539
443	429	538
444	430	536
445	430	535
446	431	533
447	432	532
448	432	530
449	433	529
450	433	527
451	434	526
452	434	524
453	435	523
454	435	521
455	436	520
456	436	519
457	437	517
458	437	516
459	438	514
460	438	513
461	439	511
462	439	510
463	440	508
464	440	507
465	442	507
466	443	506
467	444	505
468	444	503
469	445	502
470	446	500
471	446	499
472	447	498
473	447	496
474	448	495
475	448	493
476	449	492
477	449	491
478	450	489
479	450	488
480	451	486
481	451	485
482	452	484
483	452	482
484	453	481
485	453	480
486	454	478
487	454	477
488	455	475
489	455	474
490	457	474
491	458	473
492	459	472
493	459	470
494	460	469
495	460	468
496	461	467
497	462	465
498	462	464
499	463	463
500	463	461
501	464	460
502	464	459
503	465	457
504	465	456
505	466	455
506	466	453
507	467	452
508	467	451
509	468	450
510	468	448
511	469	447
512	469	446
513	470	444
514	471	443
515	472	442
516	473	442
517	474	441
518	474	439
519	475	438
520	475	437
521	476	436
522	477	435
523	477	433
524	478	432
525	478	431
526	479	430
527	479	428
528	480	427
529	480	426
530	481	425
531	481	423
532	482	422
533	482	421
534	483	420
535	483	418
536	484	417
537	484	416
538	485	415
539	485	413
540	486	412
541	488	413
542	489	411
543	490	410
544	490	409
545	491	408
546	492	407
547	492	406
548	493	405
549	494	404
550	494	403
551	495	402
552	495	400
553	496	399
554	497	398
555	497	397
556	498	396
557	499	395
558	499	394
559	500	393
560	500	391
561	501	390
562	502	389
563	504	389
564	504	388
565	505	387
566	506	386
567	506	385
568	507	384
569	508	383
570	508	382
571	509	381
572	510	380
573	510	378
574	511	377
575	511	376
576	512	375
577	513	374
578	513	373
579	514	372
580	514	371
581	515	370
582	516	369
583	516	368
584	518	367
585	519	366
586	519	365
587	520	364
588	520	363
589	521	362
590	522	361
591	523	360
592	523	359
